serie,brand,descrizione,attacchi,cilindro_mm,stelo_mm,forza_min_N,forza_max_N,forza_step_N,codice,L_mm,corsa_mm,forza_min_modello_N,forza_max_modello_N
AGS G45 G45,Vapsint,Ø12/4mm - Applicazioni con corse e spinte limitate,G45 - G45,12,4,20,150,10,AGS-70-20,70,20,,
AGS G45 G45,Vapsint,Ø12/4mm - Applicazioni con corse e spinte limitate,G45 - G45,12,4,20,150,10,AGS-90-30,90,30,,
AGS G45 G45,Vapsint,Ø12/4mm - Applicazioni con corse e spinte limitate,G45 - G45,12,4,20,150,10,AGS-110-40,110,40,,
AGS G45 G45,Vapsint,Ø12/4mm - Applicazioni con corse e spinte limitate,G45 - G45,12,4,20,150,10,AGS-130-50,130,50,,
AGS G45 G45,Vapsint,Ø12/4mm - Applicazioni con corse e spinte limitate,G45 - G45,12,4,20,150,10,AGS-150-60,150,60,,
AGS G45 G45,Vapsint,Ø12/4mm - Applicazioni con corse e spinte limitate,G45 - G45,12,4,20,150,10,AGS-190-80,190,80,,
AGS G45 G45,Vapsint,Ø12/4mm - Applicazioni con corse e spinte limitate,G45 - G45,12,4,20,150,10,AGS-230-100,230,100,,
AGS G45 G45,Vapsint,Ø12/4mm - Applicazioni con corse e spinte limitate,G45 - G45,12,4,20,150,10,AGS-250-110,250,110,,
AGS G45 G45,Vapsint,Ø12/4mm - Applicazioni con corse e spinte limitate,G45 - G45,12,4,20,150,10,AGS-270-120,270,120,,
AKS R30 Z20,Vapsint,Ø15/6mm - Applicazioni con ingombro minimo e spinte maggiori,R30 - Z20,15,6,20,400,10,AKS-145-40,145,40,20,400
AKS R30 Z20,Vapsint,Ø15/6mm - Applicazioni con ingombro minimo e spinte maggiori,R30 - Z20,15,6,20,400,10,AKS-185-60,185,60,20,400
AKS R30 Z20,Vapsint,Ø15/6mm - Applicazioni con ingombro minimo e spinte maggiori,R30 - Z20,15,6,20,400,10,AKS-225-80,225,80,20,400
AKS R30 Z20,Vapsint,Ø15/6mm - Applicazioni con ingombro minimo e spinte maggiori,R30 - Z20,15,6,20,400,10,AKS-265-100,265,100,20,400
AKS R30 Z20,Vapsint,Ø15/6mm - Applicazioni con ingombro minimo e spinte maggiori,R30 - Z20,15,6,20,400,10,AKS-305-120,305,120,20,400
AKS R30 Z20,Vapsint,Ø15/6mm - Applicazioni con ingombro minimo e spinte maggiori,R30 - Z20,15,6,20,400,10,AKS-330-130,330,130,20,400
AKS R30 Z20,Vapsint,Ø15/6mm - Applicazioni con ingombro minimo e spinte maggiori,R30 - Z20,15,6,20,400,10,AKS-365-150,365,150,20,400
AKS R30 Z20,Vapsint,Ø15/6mm - Applicazioni con ingombro minimo e spinte maggiori,R30 - Z20,15,6,20,400,10,AKS-400-165,400,165,20,400
AKS R30 Z20,Vapsint,Ø15/6mm - Applicazioni con ingombro minimo e spinte maggiori,R30 - Z20,15,6,20,400,10,AKS-465-200,465,200,20,200
AKS R30 Z20,Vapsint,Ø15/6mm - Applicazioni con ingombro minimo e spinte maggiori,R30 - Z20,15,6,20,400,10,AKS-500-215,500,215,20,200
AKS R30 Z20,Vapsint,Ø15/6mm - Applicazioni con ingombro minimo e spinte maggiori,R30 - Z20,15,6,20,400,10,AKS-565-250,565,250,20,200
AKS R30 Z20,Vapsint,Ø15/6mm - Applicazioni con ingombro minimo e spinte maggiori,R30 - Z20,15,6,20,400,10,AKS-600-265,600,265,20,200
AKS G68 G68,Vapsint,Ø15/6mm - Versione con attacchi G68,G68 - G68,15,6,20,400,10,AKS-G68-115-40,115,40,,
AKS G68 G68,Vapsint,Ø15/6mm - Versione con attacchi G68,G68 - G68,15,6,20,400,10,AKS-G68-155-60,155,60,,
AKS G68 G68,Vapsint,Ø15/6mm - Versione con attacchi G68,G68 - G68,15,6,20,400,10,AKS-G68-195-80,195,80,,
AKS G68 G68,Vapsint,Ø15/6mm - Versione con attacchi G68,G68 - G68,15,6,20,400,10,AKS-G68-235-100,235,100,,
AKS G68 G68,Vapsint,Ø15/6mm - Versione con attacchi G68,G68 - G68,15,6,20,400,10,AKS-G68-275-120,275,120,,
AKS G68 G68,Vapsint,Ø15/6mm - Versione con attacchi G68,G68 - G68,15,6,20,400,10,AKS-G68-335-150,335,150,,
AKS G68 G68,Vapsint,Ø15/6mm - Versione con attacchi G68,G68 - G68,15,6,20,400,10,AKS-G68-435-200,435,200,,
AMS R20 Z10,Vapsint,Ø18.5/8mm - Gamma più versatile settore industriale e veicoli commerciali,R20 - Z10,18.5,8,50,700,10,AMS-205-60,205,60,,
AMS R20 Z10,Vapsint,Ø18.5/8mm - Gamma più versatile settore industriale e veicoli commerciali,R20 - Z10,18.5,8,50,700,10,AMS-245-80,245,80,,
AMS R20 Z10,Vapsint,Ø18.5/8mm - Gamma più versatile settore industriale e veicoli commerciali,R20 - Z10,18.5,8,50,700,10,AMS-255-85,255,85,,
AMS R20 Z10,Vapsint,Ø18.5/8mm - Gamma più versatile settore industriale e veicoli commerciali,R20 - Z10,18.5,8,50,700,10,AMS-285-100,285,100,,
